company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
IT4W,big-data,,5.0,(1 Reviews),Disney; Agea; Farmacity; Diarco,IT4W provides BI and analytics services for a news site. They have worked on several projects such as the migration of the client's database to a cloud environment and the development of reports and dashboards.,"['Business services', 'eCommerce', 'Financial services', 'Medical', 'Energy & natural resources', 'Retail', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Ramos Mejía, Argentina",10 - 49 employees,"$5,000+"
Accedia,big-data,"Accedia is a professional IT services company founded in 2012 with offices in Sofia, Bulgaria; Boston, Mass.; and San Francisco, Calif. Its team numbers more than 150 professionals, specialized in technology consulting, agile software development, and implementation of end-to-end IT solutions. Accedia’s clients are technology startups, small and mid-sized enterprises, and large enterprise businesses engaged in banking, finance and insurance, and manufacturing, among other industries.",4.7,(19 Reviews),Alexander Forbes; Bulstrad Vienna Insurance Group; Omni Capital Retail Finance; Progress Software,"A railway engineering company has hired Accedia for software development, using Microsoft Azure, .NET, and React as main technologies. They've also provided development resources for them and their customers.","['Financial services', 'Information technology', 'Manufacturing', 'Energy & natural resources', 'Retail']","Sofia, Bulgaria",50 - 249 employees,"$1,000+"
ITMAGINATION,big-data,"ITMAGINATION is a technology services company in Warsaw, Poland with more than 400 employees. Established in 2008, they do customer software development, web development, and BI and big data consulting. ITMAGINATION primarily serves midmarket–enterprise clients in the financial services, business services, and utilities sectors.",4.6,(9 Reviews),Kabbage; Greenlight; BNP Paribas; L'Oréal,"ITMAGINATION was hired by a packaging solutions provider to migrate data from their data warehouse to Azure. This involved architecture review and MDM tools reverse engineering, among other tasks.","['eCommerce', 'Financial services', 'Manufacturing', 'Supply Chain, Logistics, and Transport']","Warszawa, Poland",250 - 999 employees,"$25,000+"
"Enplus Advisors, Inc.",big-data,"Boston-based Enplus Advisors is both a data science consultancy and custom software development firm. Their president, one of fewer than five employees, has extensive experience in both fields. Despite the firm's small size, their clients include businesses at all stages of growth and across industries from financial services to entertainment. ",4.8,(9 Reviews),Arvato-Bertelsmann; Microsoft; MSC; Tripod Education Partners,Enplus joined an in-house digital marketing company to sift through coding data. They helped to fix the general coding architecture as well as answer important marketing questions for the future.,"['Advertising & marketing', 'Business services', 'Education', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Supply Chain, Logistics, and Transport']","Boston, MA",2 - 9 employees,"$10,000+"
Kavi Global,big-data,"Kavi Global is a business analytics firm located in Barrington, Ill. Founded in 2008, Kavi Global's team of 22 employees has over a decade of experience specializing in big data consulting and BI. The firm also offers IT strategy consulting services to its clients. The firm primarily works with larger and mid-market sized clients from the transportation, financial services, and healthcare industries.  ",4.8,(4 Reviews),TEAMHealth; Ryder; General Electric; General Electric.,"Kavi Global developed a protocol-agnostic IoT platform that can communicate with many in-house sensors. Built with Amazon Web Services and MongoDB, it supports thousands of discrete elements.","['Business services', 'Education', 'Financial services', 'Government', 'Medical', 'Retail', 'Supply Chain, Logistics, and Transport']","Barrington, IL",10 - 49 employees,"$10,000+"
OneClick IT Consultancy Pvt. Ltd.,big-data,"OneClick IT Consultancy Pvt. Ltd. is an IT consultancy based in Ahmedabad, India founded in 2012. With a team of more than 50 experts, they offer CRM consulting & SI, custom software development, and web development assistance to clients, working in industries such as advertising, consumer products & services, and IT. They are also experienced in developing apps for wearables such as the Apple Watch.",5.0,(17 Reviews),ClientData LLC.; AOS Real Front Desk; MadamSew,One Click IT Consultancy Pvt. Ltd. developed a software solution that allows users to send personalized video messages via email. The solution is accessible via Android and iOS apps or a web browser. ,"['Business services', 'Medical', 'Hospitality & leisure', 'Information technology', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Ahmedabad, India",50 - 249 employees,"$5,000+"
DataToBiz,big-data,"DataToBiz is an AI and Data Science Consulting Firm in Chandigarh, India. They are an innovative team of around 50 professionals. They have helped various SMEs and Enterprises round the globe to solve their business problems with Data Engineering solutions. Their core services include Business Intelligence, Computer Vision, Data Warehousing and Artificial Intelligence.",4.7,(12 Reviews),GetMee; DiGiSPICE Technologies; Speero; McDonald's,DataToBiz provided BI and analytics services for an insurance technology firm. They migrated data to a new tool to provide better visualization.,"['Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Government', 'Information technology', 'Manufacturing', 'Energy & natural resources']","Sahibzada Ajit Singh Nagar, India",10 - 49 employees,"$10,000+"
Waypoint Consulting,big-data,"Waypoint Consulting is a data management agency based in Philadelphia. Since 2001, their team of 36 has offered BI & Big Data Consulting & SI, Cloud Consulting & SI, and IT-managed services to midmarket companies and enterprises. They work in financial services, health care, legal, and other industries.",4.6,(7 Reviews),Lutron Electronics; Cadence Bank; Abbott Rapid Diagnostics,"Waypoint Consulting familiarized themselves with existing internal custom reporting apps and built upon them using .NET Framework, SQL, and ClickOnce application. They provide ongoing support as needed.","['Education', 'Financial services', 'Medical', 'Legal', 'Manufacturing', 'Retail', 'Telecommunications']","West Chester, PA",10 - 49 employees,"$5,000+"
Roman.ua,big-data,"Roman.ua is a digital marketing agency based in Kiev, Ukraine. Founded in 2008, Roman.ua provides small and midmarket businesses with a wide range of different services such as PPC, email marketing, CRM consulting, digital strategy, and conversion optimization.",5.0,(10 Reviews),SemRush; Kingston; HyperX; Lenovo,Roman.ua provided digital marketing services for a gaming company. The team managed the client's social media and PPC ads in Eastern European markets and set up Google Analytics for their landing pages.,"['Business services', 'Consumer products & services', 'eCommerce', 'Information technology', 'Retail']","Kyiv, Ukraine",10 - 49 employees,"$5,000+"
Fayrix,big-data,"Fayrix is a software development company based in Herzliya, Israel with an office in Curitiba, Brazil. Founded in 2005, and currently employing over 1500 employees, Fayrix provides web development, mobile app development and BI & big data consulting. Fayrix provides services to clients in a wide variety of industries. ",4.9,(16 Reviews),Despite the majority of our projects are protected with NDAs; which we strictly follow and respect; it is honourable to mention that we have developed data science solutions for the world’s largest DIY retailer and augmented IT teams of top 2 banks in Eastern Europe.,"Fayrix developed a mobile application and custom software solution for a third party client, using Java for the build and connecting the app to internal databases.","['Consumer products & services', 'eCommerce', 'Education', 'Medical', 'Information technology', 'Energy & natural resources', 'Telecommunications', 'Supply Chain, Logistics, and Transport', 'Utilities']","Ra'anana, Israel","1,000 - 9,999 employees","$5,000+"
BIX Tech,big-data,"BIX Technology is a big data company based in Florianopolis, Brazil. Founded in 2012, the team of less than 50 specializes in BI and big data consulting and SI, web development, and IT strategy consulting. They work primarily with enterprise and midmarket clients, mainly in the consumer products and services, and retail industries.",4.9,(21 Reviews),Brazilian big players in ceramic coating; retail and manufacturing such as Portobello; Grupo Soma; Embraco and others (confidential),BIX Tech was hired by a car dealership to build a dashboard that consolidates data regarding real-time shipments by sea from several production plants.,"['Consumer products & services', 'eCommerce', 'Manufacturing', 'Retail']","Coral Gables, FL",50 - 249 employees,"$5,000+"
PixelPlex,big-data,"PixelPlex is a software and blockchain development company headquartered in New York City, with offices in London-UK, Pfäffikon-Switzerland, Tokyo-Japan, and Seoul-South Korea. Founded in 2007, the team of 130+ specializes in blockchain, custom software development, and mobile app development. They work mostly with enterprise and mid-market clients, primarily in the financial services industry. ",4.9,(25 Reviews),Microsoft; Oracle; BMW; Intel,"PixelPlex designed and developed an NFT marketplace for a technology company. They built the product from scratch using C++, C#, Solidity, and an Ethereum smart contract.","['Business services', 'eCommerce', 'Financial services', 'Government', 'Energy & natural resources', 'Real estate', 'Retail']","New York, NY",50 - 249 employees,"$25,000+"
CAYK Marketing Inc.,big-data,"CAYK Marketing Inc. Is an advertising company located in Calgary, Canada; Vancouver, Canada and Phoenix, Arizona. The small team provides advertising, digital strategy, pay per click, search engine optimization, and more. The agency was established in 2011.",5.0,(9 Reviews),,"CAYK Marketing Inc. has developed a website for a nonprofit organization. They've audited the website, designed the home page and the overall website structure, and created a WordPress staging site.","['Advertising & marketing', 'Business services', 'Education', 'Financial services', 'Gambling', 'Government', 'Medical', 'Manufacturing', 'Energy & natural resources', 'Non-profit']","Calgary, Canada",10 - 49 employees,"$10,000+"
